Best Fit:       V     sigma        h3        h4        h5        h6
comp. 0      5.21        130 
comp. 1     -2.96        148 
comp. 2      0.0       0.0
chi2/DOF: 0.7241
Reddening E(B-V): 0.262
Nonzero Templates: 81 / 112
Elapsed time in PPXF: 19.82 s
Spec Norm factor: 45.6118
Spec Norm lambda: 5600.00
Mini: 1717541.2044
Mcor: 1648119.0337
++++++++++++++++++++++++++++++
Gas V= -2.96 and sigma= 148.40 km/s
Number of emission lines: 20
Emission lines peak intensity:
Hepsilon 0.00e+00
Hdelta 5.41e+00
Hgamma 1.87e+00
Hbeta 4.89e+00
Halpha 1.56e+01
[SII]6716 6.85e+00
[SII]6731 5.67e+00
[SII]4068 0.00e+00
[SIII]6312 0.00e+00
[NIII]3967 8.25e-01
[HeI]4026 2.18e+00
[HeI]4143 2.48e-02
[HeI]4471 3.72e-02
[HeI]5875 1.13e+00
[HeI]6678 1.36e+00
[OIII]4363 0.00e+00
[ClIII]5517 2.44e-01
[OIII]5007d 5.32e+00
[OI]6300d 9.23e-01
[NII]6583d 1.43e+01
------------------------------


   # j          x_j(%)         Mini(%)         Mcor(%)           age_j           met_j         (L/M)_j           Mstar
     1         0.00000         0.00000         0.00000     3.00000e+07         0.00208     1.33026e-04         0.99850
     2         0.00000         0.00000         0.00000     3.00000e+07         0.00416     1.22971e-04         0.99850
     3         0.00000         0.00000         0.00000     3.00000e+07         0.00849     1.16020e-04         0.99850
     4         0.00000         0.00000         0.00000     3.00000e+07         0.01068     1.18584e-04         0.99850
     5         0.00000         0.00000         0.00000     3.00000e+07         0.02181     1.13252e-04         0.99850
     6         0.00000         0.00000         0.00000     3.00000e+07         0.02684     1.10289e-04         0.99850
     7         0.00000         0.00000         0.00000     3.00000e+07         0.03457     1.05457e-04         0.99840
     8         0.00000         0.00000         0.00000     3.00000e+07         0.04773     9.51800e-05         0.99840
     9         0.00000         0.00000         0.00000     5.00000e+07         0.00208     1.27583e-04         0.99760
    10         0.00000         0.00000         0.00000     5.00000e+07         0.00416     1.17520e-04         0.99760
    11         0.00000         0.00000         0.00000     5.00000e+07         0.00849     1.12898e-04         0.99760
    12         0.00000         0.00000         0.00000     5.00000e+07         0.01068     1.11457e-04         0.99770
    13         0.00000         0.00000         0.00000     5.00000e+07         0.02181     1.03503e-04         0.99770
    14         0.00000         0.00000         0.00000     5.00000e+07         0.02684     9.97369e-05         0.99770
    15         0.00000         0.00000         0.00000     5.00000e+07         0.03457     9.49603e-05         0.99770
    16         0.00000         0.00000         0.00000     5.00000e+07         0.04773     9.05641e-05         0.99760
    17         0.00000         0.00000         0.00000     8.00000e+07         0.00208     1.21156e-04         0.99650
    18         0.00000         0.00000         0.00000     8.00000e+07         0.00416     1.12726e-04         0.99660
    19         0.00000         0.00000         0.00000     8.00000e+07         0.00849     1.08256e-04         0.99670
    20         0.00000         0.00000         0.00000     8.00000e+07         0.01068     1.06028e-04         0.99670
    21         0.00000         0.00000         0.00000     8.00000e+07         0.02181     9.61097e-05         0.99680
    22         0.00000         0.00000         0.00000     8.00000e+07         0.02684     9.27937e-05         0.99680
    23         0.00000         0.00000         0.00000     8.00000e+07         0.03457     8.92573e-05         0.99680
    24         0.00000         0.00000         0.00000     8.00000e+07         0.04773     8.62334e-05         0.99680
    25         0.00000         0.00000         0.00000     1.00000e+08         0.00208     1.17018e-04         0.99590
    26         0.00000         0.00000         0.00000     1.00000e+08         0.00416     1.09384e-04         0.99600
    27         0.00000         0.00000         0.00000     1.00000e+08         0.00849     1.05098e-04         0.99610
    28         0.00000         0.00000         0.00000     1.00000e+08         0.01068     1.02243e-04         0.99610
    29         0.00000         0.00000         0.00000     1.00000e+08         0.02181     9.21781e-05         0.99630
    30         0.02130         0.00633         0.00657     1.00000e+08         0.02684     8.93814e-05         0.99630
    31         0.04364         0.01343         0.01394     1.00000e+08         0.03457     8.62969e-05         0.99630
    32         0.06767         0.02159         0.02242     1.00000e+08         0.04773     8.32209e-05         0.99630
    33         0.09389         0.02197         0.02274     2.00000e+08         0.00208     1.13471e-04         0.99320
    34         0.12271         0.03085         0.03193     2.00000e+08         0.00416     1.05645e-04         0.99340
    35         0.15451         0.04241         0.04392     2.00000e+08         0.00849     9.67427e-05         0.99370
    36         0.18956         0.05362         0.05554     2.00000e+08         0.01068     9.38875e-05         0.99390
    37         0.22805         0.07376         0.07643     2.00000e+08         0.02181     8.21036e-05         0.99430
    38         0.27010         0.09034         0.09361     2.00000e+08         0.02684     7.93970e-05         0.99430
    39         0.31574         0.10952         0.11349     2.00000e+08         0.03457     7.65637e-05         0.99440
    40         0.36496         0.13228         0.13708     2.00000e+08         0.04773     7.32675e-05         0.99440
    41         0.41766         0.10280         0.10614     3.00000e+08         0.00208     1.07897e-04         0.99080
    42         0.47375         0.12523         0.12935     3.00000e+08         0.00416     1.00465e-04         0.99120
    43         0.53306         0.15784         0.16316     3.00000e+08         0.00849     8.96852e-05         0.99190
    44         0.59541         0.18275         0.18896     3.00000e+08         0.01068     8.65212e-05         0.99220
    45         0.66057         0.23269         0.24072     3.00000e+08         0.02181     7.53906e-05         0.99270
    46         0.72830         0.26635         0.27557     3.00000e+08         0.02684     7.26161e-05         0.99280
    47         0.79832         0.30491         0.31550     3.00000e+08         0.03457     6.95305e-05         0.99290
    48         0.87032         0.35076         0.36294     3.00000e+08         0.04773     6.58928e-05         0.99290
    49         0.94404         0.25627         0.26359     5.00000e+08         0.00208     9.78277e-05         0.98700
    50         1.01921         0.30472         0.31371     5.00000e+08         0.00416     8.88255e-05         0.98790
    51         1.09559         0.36821         0.37954     5.00000e+08         0.00849     7.90172e-05         0.98910
    52         1.17292         0.41293         0.42576     5.00000e+08         0.01068     7.54336e-05         0.98940
    53         1.25095         0.51867         0.53528     5.00000e+08         0.02181     6.40496e-05         0.99030
    54         1.32945         0.57886         0.59745     5.00000e+08         0.02684     6.09913e-05         0.99040
    55         1.40823         0.64853         0.66950     5.00000e+08         0.03457     5.76648e-05         0.99060
    56         1.48711         0.73011         0.75371     5.00000e+08         0.04773     5.40910e-05         0.99060
    57         0.00000         0.00000         0.00000     8.00000e+08         0.00208     8.68824e-05         0.98270
    58         0.04311         0.01457         0.01494     8.00000e+08         0.00416     7.85862e-05         0.98380
    59         0.08801         0.03412         0.03505     8.00000e+08         0.00849     6.84969e-05         0.98560
    60         0.13607         0.05585         0.05739     8.00000e+08         0.01068     6.47016e-05         0.98600
    61         0.18844         0.09452         0.09726     8.00000e+08         0.02181     5.29416e-05         0.98740
    62         0.24605         0.13118         0.13501     8.00000e+08         0.02684     4.98100e-05         0.98760
    63         0.30965         0.17630         0.18149     8.00000e+08         0.03457     4.66429e-05         0.98780
    64         0.37978         0.23369         0.24059     8.00000e+08         0.04773     4.31584e-05         0.98790
    65         0.45679         0.13873         0.14113     1.25000e+09         0.00208     8.74439e-05         0.97620
    66         0.54090         0.18048         0.18400     1.25000e+09         0.00416     7.95920e-05         0.97830
    67         0.63217         0.26654         0.27251     1.25000e+09         0.00849     6.29866e-05         0.98110
    68         0.73055         0.32850         0.33583     1.25000e+09         0.01068     5.90589e-05         0.98100
    69         0.83591         0.47739         0.48939     1.25000e+09         0.02181     4.65002e-05         0.98370
    70         0.94806         0.57758         0.59227     1.25000e+09         0.02684     4.35910e-05         0.98400
    71         1.06671         0.70938         0.72773     1.25000e+09         0.03457     3.99333e-05         0.98440
    72         1.19144         0.87740         0.90028     1.25000e+09         0.04773     3.60615e-05         0.98460
    73         1.32177         0.49772         0.50204     2.00000e+09         0.00208     7.05241e-05         0.96790
    74         1.45724         0.64498         0.65172     2.00000e+09         0.00416     5.99999e-05         0.96960
    75         1.59724         0.83469         0.84637     2.00000e+09         0.00849     5.08175e-05         0.97300
    76         1.74120         0.99219         1.00700     2.00000e+09         0.01068     4.66041e-05         0.97390
    77         1.88859         1.42144         1.44739     2.00000e+09         0.02181     3.52842e-05         0.97710
    78         2.03893         1.63714         1.66805     2.00000e+09         0.02684     3.30741e-05         0.97770
    79         2.19171         1.89600         1.93299     2.00000e+09         0.03457     3.06984e-05         0.97830
    80         2.34638         2.21947         2.26392     2.00000e+09         0.04773     2.80750e-05         0.97880
    81         2.50242         1.11364         1.11518     3.00000e+09         0.00208     5.96739e-05         0.96090
    82         2.65942         1.36954         1.37428     3.00000e+09         0.00416     5.15683e-05         0.96290
    83         2.81695         1.81863         1.83231     3.00000e+09         0.00849     4.11345e-05         0.96680
    84         2.97466         2.09940         2.11738     3.00000e+09         0.01068     3.76281e-05         0.96780
    85         0.00000         0.00000         0.00000     3.00000e+09         0.02181     2.79223e-05         0.97160
    86         0.06531         0.06523         0.06609     3.00000e+09         0.02684     2.65899e-05         0.97220
    87         0.13294         0.14081         0.14276     3.00000e+09         0.03457     2.50720e-05         0.97290
    88         0.20502         0.23925         0.24272     3.00000e+09         0.04773     2.27562e-05         0.97350
    89         0.28342         0.15635         0.15501     5.00000e+09         0.00208     4.81407e-05         0.95140
    90         0.36977         0.23775         0.23632     5.00000e+09         0.00416     4.13026e-05         0.95380
    91         0.46517         0.37821         0.37782     5.00000e+09         0.00849     3.26631e-05         0.95860
    92         0.57041         0.50378         0.50384     5.00000e+09         0.01068     3.00690e-05         0.95970
