Best Fit:       V     sigma        h3        h4        h5        h6
comp. 0      13.9       7.69 
comp. 1     -5.97        230 
comp. 2      0.0       0.0
chi2/DOF: 0.9754
Reddening E(B-V): 0.194
Nonzero Templates: 83 / 112
Elapsed time in PPXF: 10.69 s
Spec Norm factor: 22.1743
Spec Norm lambda: 5600.00
Mini: 487729.3158
Mcor: 399265.3437
++++++++++++++++++++++++++++++
Gas V= -5.97 and sigma= 229.78 km/s
Number of emission lines: 20
Emission lines peak intensity:
Hepsilon 0.00e+00
Hdelta 4.79e+00
Hgamma 5.04e+00
Hbeta 4.58e+00
Halpha 2.77e+00
[SII]6716 1.76e-01
[SII]6731 0.00e+00
[SII]4068 0.00e+00
[SIII]6312 0.00e+00
[NIII]3967 0.00e+00
[HeI]4026 2.05e-01
[HeI]4143 0.00e+00
[HeI]4471 7.25e-01
[HeI]5875 3.54e-03
[HeI]6678 0.00e+00
[OIII]4363 0.00e+00
[ClIII]5517 1.70e+00
[OIII]5007d 0.00e+00
[OI]6300d 0.00e+00
[NII]6583d 1.63e+00
------------------------------


   # j          x_j(%)         Mini(%)         Mcor(%)           age_j           met_j         (L/M)_j           Mstar
     1         0.00000         0.00000         0.00000     3.00000e+07         0.00208     9.49377e-04         0.96050
     2         0.00000         0.00000         0.00000     3.00000e+07         0.00416     8.33357e-04         0.96050
     3         0.00000         0.00000         0.00000     3.00000e+07         0.00849     7.86165e-04         0.96060
     4         0.00000         0.00000         0.00000     3.00000e+07         0.01068     8.44450e-04         0.96070
     5         0.00000         0.00000         0.00000     3.00000e+07         0.02181     8.39329e-04         0.96060
     6         0.00000         0.00000         0.00000     3.00000e+07         0.02684     8.12900e-04         0.96040
     7         0.00000         0.00000         0.00000     3.00000e+07         0.03457     7.62107e-04         0.96010
     8         0.00000         0.00000         0.00000     3.00000e+07         0.04773     6.34217e-04         0.95940
     9         0.00000         0.00000         0.00000     5.00000e+07         0.00208     7.45927e-04         0.94980
    10         0.00000         0.00000         0.00000     5.00000e+07         0.00416     6.59975e-04         0.95010
    11         0.00000         0.00000         0.00000     5.00000e+07         0.00849     6.52005e-04         0.95040
    12         0.00000         0.00000         0.00000     5.00000e+07         0.01068     6.54787e-04         0.95060
    13         0.00000         0.00000         0.00000     5.00000e+07         0.02181     6.26381e-04         0.95090
    14         0.00000         0.00000         0.00000     5.00000e+07         0.02684     5.98766e-04         0.95090
    15         0.00000         0.00000         0.00000     5.00000e+07         0.03457     5.61905e-04         0.95080
    16         0.00000         0.00000         0.00000     5.00000e+07         0.04773     5.25720e-04         0.95030
    17         0.00000         0.00000         0.00000     8.00000e+07         0.00208     5.96463e-04         0.93990
    18         0.00000         0.00000         0.00000     8.00000e+07         0.00416     5.42890e-04         0.94030
    19         0.00000         0.00000         0.00000     8.00000e+07         0.00849     5.39593e-04         0.94090
    20         0.00000         0.00000         0.00000     8.00000e+07         0.01068     5.35679e-04         0.94130
    21         0.00000         0.00000         0.00000     8.00000e+07         0.02181     4.97418e-04         0.94210
    22         0.00000         0.00000         0.00000     8.00000e+07         0.02684     4.79762e-04         0.94210
    23         0.00000         0.00000         0.00000     8.00000e+07         0.03457     4.61183e-04         0.94220
    24         0.00000         0.00000         0.00000     8.00000e+07         0.04773     4.45223e-04         0.94180
    25         0.00000         0.00000         0.00000     1.00000e+08         0.00208     5.30175e-04         0.93500
    26         0.00000         0.00000         0.00000     1.00000e+08         0.00416     4.88469e-04         0.93540
    27         0.00000         0.00000         0.00000     1.00000e+08         0.00849     4.87365e-04         0.93620
    28         0.00000         0.00000         0.00000     1.00000e+08         0.01068     4.79127e-04         0.93670
    29         0.00000         0.00000         0.00000     1.00000e+08         0.02181     4.44129e-04         0.93770
    30         0.16769         0.01763         0.02020     1.00000e+08         0.02684     4.32446e-04         0.93790
    31         0.33096         0.03587         0.04110     1.00000e+08         0.03457     4.19527e-04         0.93800
    32         0.47863         0.05370         0.06151     1.00000e+08         0.04773     4.05247e-04         0.93770
    33         0.60247         0.06491         0.07271     2.00000e+08         0.00208     4.21975e-04         0.91700
    34         0.69179         0.08006         0.08979     2.00000e+08         0.00416     3.92864e-04         0.91810
    35         0.73610         0.09082         0.10209     2.00000e+08         0.00849     3.68495e-04         0.92020
    36         0.73365         0.09178         0.10330     2.00000e+08         0.01068     3.63402e-04         0.92130
    37         0.69683         0.09635         0.10869     2.00000e+08         0.02181     3.28810e-04         0.92350
    38         0.64813         0.09181         0.10360     2.00000e+08         0.02684     3.20962e-04         0.92380
    39         0.59121         0.08593         0.09701     2.00000e+08         0.03457     3.12818e-04         0.92420
    40         0.52168         0.07871         0.08884     2.00000e+08         0.04773     3.01329e-04         0.92400
    41         0.44106         0.05676         0.06270     3.00000e+08         0.00208     3.53307e-04         0.90440
    42         0.36584         0.04992         0.05527     3.00000e+08         0.00416     3.33213e-04         0.90650
    43         0.29095         0.04341         0.04827     3.00000e+08         0.00849     3.04702e-04         0.91020
    44         0.21605         0.03290         0.03663     3.00000e+08         0.01068     2.98528e-04         0.91140
    45         0.15228         0.02546         0.02845     3.00000e+08         0.02181     2.71902e-04         0.91450
    46         0.11615         0.01995         0.02230     3.00000e+08         0.02684     2.64674e-04         0.91490
    47         0.11502         0.02040         0.02281     3.00000e+08         0.03457     2.56362e-04         0.91540
    48         0.14982         0.02782         0.03111     3.00000e+08         0.04773     2.44829e-04         0.91540
    49         0.22343         0.03704         0.04018     5.00000e+08         0.00208     2.74278e-04         0.88800
    50         0.36168         0.06511         0.07089     5.00000e+08         0.00416     2.52562e-04         0.89130
    51         0.55788         0.10908         0.11948     5.00000e+08         0.00849     2.32524e-04         0.89670
    52         0.80142         0.16165         0.17732     5.00000e+08         0.01068     2.25402e-04         0.89800
    53         1.08992         0.24647         0.27166     5.00000e+08         0.02181     2.01051e-04         0.90230
    54         1.41501         0.33245         0.36668     5.00000e+08         0.02684     1.93509e-04         0.90290
    55         1.76370         0.43296         0.47791     5.00000e+08         0.03457     1.85202e-04         0.90360
    56         2.12003         0.54944         0.60661     5.00000e+08         0.04773     1.75424e-04         0.90380
    57         0.06994         0.01498         0.01596     8.00000e+08         0.00208     2.12239e-04         0.87230
    58         0.40859         0.09473         0.10141     8.00000e+08         0.00416     1.96090e-04         0.87630
    59         0.72980         0.18653         0.20117     8.00000e+08         0.00849     1.77881e-04         0.88290
    60         1.01534         0.27041         0.29217     8.00000e+08         0.01068     1.70709e-04         0.88450
    61         1.25382         0.38811         0.42195     8.00000e+08         0.02181     1.46876e-04         0.89000
