Best Fit:       V     sigma        h3        h4        h5        h6
comp. 0      6.55        180 
comp. 1      -164        467 
comp. 2      0.0       0.0
chi2/DOF: 0.8867
Reddening E(B-V): 0.099
Nonzero Templates: 51 / 112
Elapsed time in PPXF: 13.96 s
Spec Norm factor: 43.1448
Spec Norm lambda: 5600.00
Mini: 3199894.4211
Mcor: 1280069.2567
++++++++++++++++++++++++++++++
Gas V= -163.96 and sigma= 467.24 km/s
Number of emission lines: 20
Emission lines peak intensity:
Hepsilon 0.00e+00
Hdelta 3.68e-01
Hgamma 1.33e+00
Hbeta 2.31e+00
Halpha 2.41e+00
[SII]6716 3.15e-01
[SII]6731 0.00e+00
[SII]4068 0.00e+00
[SIII]6312 0.00e+00
[NIII]3967 0.00e+00
[HeI]4026 0.00e+00
[HeI]4143 0.00e+00
[HeI]4471 2.83e-01
[HeI]5875 0.00e+00
[HeI]6678 0.00e+00
[OIII]4363 0.00e+00
[ClIII]5517 1.03e+00
[OIII]5007d 5.76e-02
[OI]6300d 0.00e+00
[NII]6583d 7.39e-01
------------------------------


   # j          x_j(%)         Mini(%)         Mcor(%)           age_j           met_j         (L/M)_j           Mstar
     1         0.00000         0.00000         0.00000     3.00000e+07         0.00208     2.80209e-03         0.60290
     2         0.00000         0.00000         0.00000     3.00000e+07         0.00416     2.34314e-03         0.60310
     3         0.00000         0.00000         0.00000     3.00000e+07         0.00849     2.16274e-03         0.60340
     4         0.00000         0.00000         0.00000     3.00000e+07         0.01068     2.39706e-03         0.60390
     5         0.00000         0.00000         0.00000     3.00000e+07         0.02181     2.38833e-03         0.60360
     6         0.00000         0.00000         0.00000     3.00000e+07         0.02684     2.28121e-03         0.60270
     7         0.00000         0.00000         0.00000     3.00000e+07         0.03457     2.08126e-03         0.60170
     8         0.00000         0.00000         0.00000     3.00000e+07         0.04773     1.58223e-03         0.59890
     9         0.00000         0.00000         0.00000     5.00000e+07         0.00208     1.69236e-03         0.56660
    10         0.00000         0.00000         0.00000     5.00000e+07         0.00416     1.43680e-03         0.56720
    11         0.00000         0.00000         0.00000     5.00000e+07         0.00849     1.42462e-03         0.56830
    12         0.00000         0.00000         0.00000     5.00000e+07         0.01068     1.44145e-03         0.56890
    13         0.00000         0.00000         0.00000     5.00000e+07         0.02181     1.37872e-03         0.56990
    14         0.00000         0.00000         0.00000     5.00000e+07         0.02684     1.29826e-03         0.56970
    15         0.00000         0.00000         0.00000     5.00000e+07         0.03457     1.19092e-03         0.56940
    16         0.00000         0.00000         0.00000     5.00000e+07         0.04773     1.07831e-03         0.56790
    17         0.00000         0.00000         0.00000     8.00000e+07         0.00208     1.08506e-03         0.53990
    18         0.00000         0.00000         0.00000     8.00000e+07         0.00416     9.59682e-04         0.54080
    19         0.00000         0.00000         0.00000     8.00000e+07         0.00849     9.65140e-04         0.54240
    20         0.00000         0.00000         0.00000     8.00000e+07         0.01068     9.63670e-04         0.54320
    21         0.00000         0.00000         0.00000     8.00000e+07         0.02181     8.94326e-04         0.54530
    22         0.00000         0.00000         0.00000     8.00000e+07         0.02684     8.55695e-04         0.54540
    23         0.00000         0.00000         0.00000     8.00000e+07         0.03457     8.15283e-04         0.54550
    24         0.00000         0.00000         0.00000     8.00000e+07         0.04773     7.77163e-04         0.54470
    25         0.00000         0.00000         0.00000     1.00000e+08         0.00208     8.70112e-04         0.52860
    26         0.00000         0.00000         0.00000     1.00000e+08         0.00416     7.82883e-04         0.52960
    27         0.00000         0.00000         0.00000     1.00000e+08         0.00849     7.93369e-04         0.53150
    28         0.00000         0.00000         0.00000     1.00000e+08         0.01068     7.83005e-04         0.53240
    29         0.00000         0.00000         0.00000     1.00000e+08         0.02181     7.29076e-04         0.53490
    30         0.00000         0.00000         0.00000     1.00000e+08         0.02684     7.08086e-04         0.53510
    31         0.00000         0.00000         0.00000     1.00000e+08         0.03457     6.85007e-04         0.53540
    32         0.00000         0.00000         0.00000     1.00000e+08         0.04773     6.56003e-04         0.53470
    33         0.00000         0.00000         0.00000     2.00000e+08         0.00208     5.29350e-04         0.49490
    34         0.00000         0.00000         0.00000     2.00000e+08         0.00416     4.89144e-04         0.49670
    35         0.00000         0.00000         0.00000     2.00000e+08         0.00849     4.63991e-04         0.50030
    36         0.00000         0.00000         0.00000     2.00000e+08         0.01068     4.63101e-04         0.50210
    37         0.00000         0.00000         0.00000     2.00000e+08         0.02181     4.27268e-04         0.50600
    38         0.00000         0.00000         0.00000     2.00000e+08         0.02684     4.19088e-04         0.50660
    39         0.00000         0.00000         0.00000     2.00000e+08         0.03457     4.10716e-04         0.50730
    40         0.00000         0.00000         0.00000     2.00000e+08         0.04773     3.95426e-04         0.50700
    41         0.00000         0.00000         0.00000     3.00000e+08         0.00208     3.77283e-04         0.47620
    42         0.00000         0.00000         0.00000     3.00000e+08         0.00416     3.58659e-04         0.47910
    43         0.00000         0.00000         0.00000     3.00000e+08         0.00849     3.33393e-04         0.48450
    44         0.00000         0.00000         0.00000     3.00000e+08         0.01068     3.30640e-04         0.48630
    45         0.00000         0.00000         0.00000     3.00000e+08         0.02181     3.11212e-04         0.49100
    46         0.00000         0.00000         0.00000     3.00000e+08         0.02684     3.05087e-04         0.49170
    47         0.00000         0.00000         0.00000     3.00000e+08         0.03457     2.97818e-04         0.49250
    48         0.00000         0.00000         0.00000     3.00000e+08         0.04773     2.85153e-04         0.49250
    49         0.00000         0.00000         0.00000     5.00000e+08         0.00208     2.43017e-04         0.45600
    50         0.00000         0.00000         0.00000     5.00000e+08         0.00416     2.26617e-04         0.45980
    51         0.10452         0.00656         0.00766     5.00000e+08         0.00849     2.14709e-04         0.46660
    52         0.51194         0.03273         0.03831     5.00000e+08         0.01068     2.10897e-04         0.46820
    53         1.21087         0.08319         0.09853     5.00000e+08         0.02181     1.96250e-04         0.47380
    54         2.16191         0.15297         0.18149     5.00000e+08         0.02684     1.90552e-04         0.47460
    55         3.28498         0.24046         0.28583     5.00000e+08         0.03457     1.84194e-04         0.47550
    56         4.48427         0.34440         0.40963     5.00000e+08         0.04773     1.75558e-04         0.47580
    57         0.00000         0.00000         0.00000     8.00000e+08         0.00208     1.60320e-04         0.44010
    58         0.00000         0.00000         0.00000     8.00000e+08         0.00416     1.51230e-04         0.44380
    59         0.00000         0.00000         0.00000     8.00000e+08         0.00849     1.42425e-04         0.45130
    60         0.00000         0.00000         0.00000     8.00000e+08         0.01068     1.38768e-04         0.45290
    61         0.00000         0.00000         0.00000     8.00000e+08         0.02181     1.25188e-04         0.45910
    62         0.00000         0.00000         0.00000     8.00000e+08         0.02684     1.20246e-04         0.46000
    63         0.00000         0.00000         0.00000     8.00000e+08         0.03457     1.15264e-04         0.46100
    64         0.00000         0.00000         0.00000     8.00000e+08         0.04773     1.08461e-04         0.46150
    65         0.00000         0.00000         0.00000     1.25000e+09         0.00208     1.27708e-04         0.42360
    66         0.01043         0.00112         0.00120     1.25000e+09         0.00416     1.25587e-04         0.42820
    67         0.01998         0.00253         0.00276     1.25000e+09         0.00849     1.06426e-04         0.43700
    68         0.00920         0.00122         0.00133     1.25000e+09         0.01068     1.01776e-04         0.43700
    69         0.00000         0.00000         0.00000     1.25000e+09         0.02181     8.93782e-05         0.44550
    70         0.02835         0.00447         0.00499     1.25000e+09         0.02684     8.55941e-05         0.44650
    71         0.10505         0.01774         0.01985     1.25000e+09         0.03457     7.98318e-05         0.44760
    72         0.19267         0.03562         0.03992     1.25000e+09         0.04773     7.29315e-05         0.44830
    73         0.24880         0.04426         0.04528     2.00000e+09         0.00208     7.57973e-05         0.40930
    74         0.31328         0.06255         0.06437     2.00000e+09         0.00416     6.75342e-05         0.41170
    75         0.33849         0.07249         0.07605     2.00000e+09         0.00849     6.29625e-05         0.41970
    76         0.30615         0.06936         0.07305     2.00000e+09         0.01068     5.95133e-05         0.42130
    77         0.30658         0.08323         0.08924     2.00000e+09         0.02181     4.96640e-05         0.42890
    78         0.48761         0.13757         0.14788     2.00000e+09         0.02684     4.77902e-05         0.43000
    79         0.99789         0.29454         0.31764     2.00000e+09         0.03457     4.56800e-05         0.43140
    80         1.95483         0.61555         0.66535     2.00000e+09         0.04773     4.28193e-05         0.43240
    81         3.36254         0.88690         0.88771     3.00000e+09         0.00208     5.11193e-05         0.40040
    82         5.24674         1.51658         1.52669     3.00000e+09         0.00416     4.66462e-05         0.40270
    83         7.43438         2.48306         2.54802     3.00000e+09         0.00849     4.03692e-05         0.41050
    84         9.73200         3.44963         3.55109     3.00000e+09         0.01068     3.80384e-05         0.41180
    85         0.17623         0.07679         0.08045     3.00000e+09         0.02181     3.09437e-05         0.41910
    86         0.20303         0.08987         0.09436     3.00000e+09         0.02684     3.04599e-05         0.42000
    87         0.20153         0.09121         0.09601     3.00000e+09         0.03457     2.97911e-05         0.42110
    88         0.13274         0.06464         0.06821     3.00000e+09         0.04773     2.76881e-05         0.42210
    89         0.00634         0.00271         0.00265     5.00000e+09         0.00208     3.15513e-05         0.39130
    90         0.00000         0.00000         0.00000     5.00000e+09         0.00416     2.86178e-05         0.39330
    91         0.06733         0.03699         0.03710     5.00000e+09         0.00849     2.45428e-05         0.40120
    92         0.15745         0.09080         0.09131     5.00000e+09         0.01068     2.33814e-05         0.40230
    93         0.24903         0.17019         0.17430     5.00000e+09         0.02181     1.97292e-05         0.40970
    94         0.30977         0.22276         0.22858     5.00000e+09         0.02684     1.87503e-05         0.41050
    95         0.30947         0.23724         0.24398     5.00000e+09         0.03457     1.75881e-05         0.41140
    96         0.22570         0.19013         0.19587     5.00000e+09         0.04773     1.60054e-05         0.41210
    97         0.11426         0.07050         0.06792     7.50000e+09         0.00208     2.18537e-05         0.38540
    98         0.17192         0.11921         0.11539     7.50000e+09         0.00416     1.94447e-05         0.38720
    99         0.36851         0.29464         0.29101     7.50000e+09         0.00849     1.68636e-05         0.39510
   100         0.60796         0.51545         0.51038     7.50000e+09         0.01068     1.59029e-05         0.39610
   101         0.82309         0.82484         0.83199     7.50000e+09         0.02181     1.34545e-05         0.40350
   102         0.94717         0.99795         1.00859     7.50000e+09         0.02684     1.27972e-05         0.40430
   103         0.93819         1.05093         1.06424     7.50000e+09         0.03457     1.20368e-05         0.40510
   104         0.81782         0.99706         1.01093     7.50000e+09         0.04773     1.10594e-05         0.40560
   105         0.75720         0.70167         0.66636     1.20000e+10         0.00208     1.45502e-05         0.37990
   106         1.17920         1.23624         1.17834     1.20000e+10         0.00416     1.28611e-05         0.38130
   107         2.19035         2.67582         2.60335     1.20000e+10         0.00849     1.10370e-05         0.38920
   108         3.81521         4.87673         4.75440     1.20000e+10         0.01068     1.05483e-05         0.39000
   109         6.06581         9.41934         9.36436     1.20000e+10         0.02181     8.68283e-06         0.39770
   110         8.86797        14.45479        14.38849     1.20000e+10         0.02684     8.27190e-06         0.39820
   111        12.05008        20.82582        20.76674     1.20000e+10         0.03457     7.80155e-06         0.39890
   112        15.39317        29.02693        28.98087     1.20000e+10         0.04773     7.15022e-06         0.39940


      # lambda        obs    bestfit      noise
    3900.99990   18.70348   19.73373    3.03478
    3902.00016   17.74075   19.78048    3.07128
    3903.00067   20.18913   19.76316    3.10355
    3904.00144   11.57625   19.74874    2.87654
    3905.00247   15.01952   19.84164    2.83386
    3906.00375   21.55027   20.13239    2.91310
    3907.00529   20.68902   20.64312    2.90279
    3908.00709   18.06024   21.30816    2.86989
    3909.00914   16.89509   22.00375    2.84692
    3910.01145   19.63945   22.60402    2.87198
    3911.01402   24.70819   23.02538    2.97226
    3912.01684   22.43196   23.23840    2.96214
    3913.01992   20.19210   23.25385    2.94671
    3914.02326   19.94703   23.10080    2.96342
    3915.02686   19.86234   22.81006    3.10751
    3916.03071   18.07911   22.40766    3.22355
    3917.03482   18.69887   21.91899    3.15765
    3918.03919   18.74602   21.37994    2.97857
    3919.04381   17.99555   20.84479    2.85357
    3920.04870   16.88033   20.37812    2.78612
    3921.05384   14.43448   20.02572    2.73981
    3922.05924   13.86478   19.77841    2.79900
    3923.06489   14.61457   19.55578    2.92364
    3924.07081   14.52242   19.22853    2.93678
    3925.07698   17.02828   18.67062    2.87515
    3926.08341   18.04615   17.81035    2.70737
    3927.09010   13.16009   16.65226    2.56709
    3928.09704    8.81771   15.26569    2.46210
